epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0604,1.83672,3.94386,1.27804,0.00878,0.2727,0.05571,0.02849,1.65385,4.02357,1.11871,6.666e-05,6.666e-05,6.666e-05
2,15.9041,1.75088,3.28668,1.17228,0.01215,0.46846,0.09227,0.05555,1.65578,3.87915,1.07969,0.000142047,0.000142047,0.000142047
3,19.1192,1.68293,2.65943,1.16017,0.01007,0.53127,0.14996,0.09461,1.58574,3.78374,1.05393,0.000214867,0.000214867,0.000214867
4,21.8587,1.74965,2.31726,1.15201,0.01009,0.58002,0.18744,0.11352,1.61425,3.73363,1.06591,0.000285121,0.000285121,0.000285121
5,24.6049,1.74742,2.14311,1.17282,0.00998,0.53168,0.20968,0.122,1.53129,3.61286,1.06834,0.000352809,0.000352809,0.000352809
6,27.7984,1.70296,1.95969,1.15179,0.0086,0.46054,0.2291,0.12405,1.58522,3.64285,1.13572,0.00041793,0.00041793,0.00041793
7,32.008,1.78702,1.89421,1.14676,0.00522,0.25812,0.10647,0.05938,1.64126,3.85759,1.23801,0.000480485,0.000480485,0.000480485
8,34.4486,1.69355,1.71104,1.13261,0.52523,0.11851,0.12545,0.06916,1.67599,3.7515,1.23737,0.000540474,0.000540474,0.000540474
9,37.1,1.60945,1.66064,1.1354,0.85808,0.01053,0.11593,0.05977,1.66216,3.7915,1.25719,0.000597896,0.000597896,0.000597896
10,39.7829,1.6686,1.69389,1.156,0.00513,0.33362,0.08367,0.03462,1.71362,3.94295,1.35115,0.000652751,0.000652751,0.000652751
11,42.4595,1.59976,1.64753,1.11098,0.00827,0.48694,0.17434,0.09289,1.72169,3.56611,1.30766,0.000705041,0.000705041,0.000705041
12,46.597,1.59142,1.5246,1.13234,0.5955,0.23899,0.41476,0.21382,1.78035,2.71656,1.23732,0.000754763,0.000754763,0.000754763
13,49.628,1.60226,1.54695,1.13987,0.6872,0.3844,0.53607,0.26429,1.73475,2.51582,1.19044,0.00080192,0.00080192,0.00080192
14,52.2244,1.61142,1.52931,1.11288,0.65176,0.36397,0.52465,0.26977,1.74548,2.47701,1.19915,0.00084651,0.00084651,0.00084651
15,54.8436,1.56037,1.45647,1.1023,0.61442,0.43408,0.54258,0.28678,1.71405,2.24343,1.18406,0.000854359,0.000854359,0.000854359
16,57.4463,1.57683,1.42267,1.10504,0.66539,0.50691,0.55048,0.28504,1.69342,2.21642,1.16588,0.000836027,0.000836027,0.000836027
17,61.2159,1.56434,1.38987,1.11064,0.6649,0.47254,0.57078,0.29755,1.68038,2.1962,1.16184,0.000817696,0.000817696,0.000817696
18,64.5717,1.57382,1.39706,1.12023,0.73563,0.60538,0.68479,0.3404,1.66679,1.95827,1.14095,0.000799365,0.000799365,0.000799365
19,67.2195,1.55439,1.39291,1.09631,0.62353,0.57527,0.67272,0.33698,1.67338,1.81193,1.14611,0.000781033,0.000781033,0.000781033
20,69.87,1.53231,1.36852,1.11848,0.65717,0.58714,0.6904,0.33796,1.67748,1.73576,1.1499,0.000762702,0.000762702,0.000762702
21,72.3514,1.56085,1.37973,1.13338,0.71637,0.63776,0.68923,0.35159,1.7135,1.79594,1.16628,0.00074437,0.00074437,0.00074437
22,75.9664,1.48171,1.27645,1.08434,0.773,0.61422,0.68583,0.3567,1.71035,1.89766,1.16413,0.000726038,0.000726038,0.000726038
23,79.7104,1.45091,1.23014,1.06938,0.8286,0.62943,0.7298,0.38698,1.66177,1.69324,1.12348,0.000707707,0.000707707,0.000707707
24,82.001,1.4677,1.22963,1.08042,0.63736,0.67331,0.70116,0.36666,1.62724,1.60745,1.12838,0.000689376,0.000689376,0.000689376
25,84.7061,1.47541,1.20404,1.09779,0.63807,0.66326,0.69872,0.38076,1.60821,1.58404,1.12764,0.000671044,0.000671044,0.000671044
26,87.1386,1.39128,1.17924,1.06078,0.72376,0.64399,0.72504,0.37069,1.65103,1.57969,1.14066,0.000652712,0.000652712,0.000652712
27,90.9547,1.39481,1.18529,1.06136,0.65428,0.65995,0.67548,0.34601,1.66594,1.59164,1.15259,0.000634381,0.000634381,0.000634381
28,94.5839,1.39837,1.15813,1.07151,0.61812,0.71589,0.68862,0.35071,1.67239,1.55674,1.15812,0.000616049,0.000616049,0.000616049
29,97.173,1.39635,1.15594,1.04477,0.62591,0.67243,0.68366,0.34537,1.6636,1.5618,1.15329,0.000597718,0.000597718,0.000597718
30,99.8392,1.4447,1.17947,1.08165,0.76223,0.63334,0.7211,0.35646,1.68296,1.54078,1.16808,0.000579386,0.000579386,0.000579386
31,102.246,1.36229,1.10489,1.04373,0.64799,0.68307,0.70885,0.34003,1.70718,1.52718,1.19064,0.000561055,0.000561055,0.000561055
32,105.611,1.40895,1.12446,1.06667,0.61163,0.69508,0.71743,0.35652,1.71412,1.52218,1.18613,0.000542723,0.000542723,0.000542723
33,109.412,1.36907,1.09873,1.07705,0.61858,0.70037,0.72501,0.36309,1.6711,1.50539,1.17238,0.000524392,0.000524392,0.000524392
34,111.997,1.34407,1.07342,1.0664,0.70185,0.68176,0.72747,0.36393,1.67563,1.54474,1.1709,0.00050606,0.00050606,0.00050606
35,114.421,1.3597,1.08399,1.01691,0.78804,0.69691,0.75296,0.38181,1.67659,1.4838,1.15235,0.000487729,0.000487729,0.000487729
36,117.103,1.37042,1.11811,1.03173,0.80645,0.68793,0.74969,0.3815,1.65499,1.43377,1.1392,0.000469397,0.000469397,0.000469397
37,119.937,1.35513,1.06072,1.02072,0.8279,0.68307,0.74905,0.38029,1.63351,1.43361,1.13374,0.000451066,0.000451066,0.000451066
38,124.215,1.33707,1.0314,1.03908,0.86641,0.61819,0.74099,0.37779,1.66947,1.44389,1.15519,0.000432734,0.000432734,0.000432734
39,126.817,1.34658,1.02562,1.003,0.81176,0.69199,0.74247,0.38666,1.65292,1.42032,1.15067,0.000414403,0.000414403,0.000414403
40,129.351,1.28522,1.02701,1.03781,0.8266,0.63027,0.7402,0.38727,1.59042,1.42803,1.13943,0.000396071,0.000396071,0.000396071
41,131.828,1.32932,1.04668,1.03056,0.74154,0.64961,0.73842,0.38345,1.58775,1.43857,1.14597,0.00037774,0.00037774,0.00037774
42,134.74,1.31012,1.02283,1.01956,0.77922,0.65134,0.73465,0.37876,1.6316,1.43808,1.15902,0.000359409,0.000359409,0.000359409
43,138.618,1.26107,1.00425,1.01639,0.80351,0.68063,0.7531,0.37995,1.62001,1.39642,1.14409,0.000341077,0.000341077,0.000341077
44,141.86,1.27537,0.96393,1.01071,0.7868,0.70763,0.75036,0.38636,1.63514,1.37834,1.15129,0.000322745,0.000322745,0.000322745
45,144.357,1.26461,0.9575,0.99159,0.80412,0.68264,0.75246,0.38864,1.63208,1.36316,1.14407,0.000304414,0.000304414,0.000304414
46,147.05,1.24296,0.95659,1.01156,0.83667,0.66863,0.76573,0.40362,1.62967,1.36534,1.13397,0.000286083,0.000286083,0.000286083
47,149.622,1.21189,0.95055,0.99501,0.86821,0.62617,0.76463,0.39438,1.65511,1.37268,1.14814,0.000267751,0.000267751,0.000267751
48,153.539,1.24614,0.92683,1.00066,0.85619,0.66061,0.76744,0.38484,1.66794,1.37909,1.15552,0.00024942,0.00024942,0.00024942
49,156.758,1.2217,0.92404,0.9952,0.86539,0.68393,0.77142,0.38461,1.6584,1.3614,1.14896,0.000231088,0.000231088,0.000231088
50,159.245,1.23803,0.92443,0.99899,0.85005,0.68481,0.77709,0.39781,1.65707,1.37299,1.14648,0.000212757,0.000212757,0.000212757
51,166.459,1.27733,1.09138,1.01189,0.8255,0.69822,0.76254,0.39388,1.63942,1.40887,1.14925,0.000194425,0.000194425,0.000194425
